run	time	firm	entrant	price	output	mcosts	profits	rule	N	K	firms	theta	global	rule_pram
1	9	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	9	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	7	1	0.649	0.173	0.477	0.030	0.00	20	10	20	0.85	0.208	0.600
1	9	8	1	0.649	0.051	0.598	0.003	1.00	20	10	20	0.85	0.208	0.600
1	9	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	9	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	14	1	0.649	0.126	0.523	0.016	0.00	20	10	20	0.85	0.208	0.600
1	9	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	9	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	9	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	10	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	10	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	10	7	1	0.599	0.134	0.465	0.018	0.00	20	10	20	0.85	0.208	0.600
1	10	8	1	0.599	0.134	0.465	0.018	1.00	20	10	20	0.85	0.208	0.600
1	10	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
